fold,epoch,station_index,siteid,sitename,n,mae,rmse,r2,bias
0,3,2,4,新店,8618,4.281710168077459,5.413314538603313,0.4768743613008154,0.26175115224476286
0,3,4,6,板橋,8592,3.608349463751529,4.4017238456166545,0.7274795564488987,3.0243780267887943
0,3,12,15,松山,8576,2.7841139770349237,3.691553446892414,0.8223967547356683,-1.3281071208445216
0,3,17,21,龍潭,8624,3.542528543254993,4.836524783256323,0.6934934360602776,-2.6779976879040914
0,3,23,27,三義,8594,2.981622495157707,4.141271583133855,0.666247585811686,-0.8561766533025453
0,3,40,44,善化,8608,3.544953731411452,4.720464641455532,0.7922324151124414,1.6559814345991744
0,3,42,46,臺南,8615,3.1712582561351224,4.072828235952216,0.8542188962636309,1.1817600568781326
0,3,43,47,美濃,8594,4.368558213395631,5.758648114537256,0.620639931051605,3.039098496447615
0,3,48,52,林園,8465,4.019344114123613,5.686706955423089,0.7865062896478547,0.29959722291205104
0,3,50,54,左營,8574,2.8218074879822597,3.7312916150605435,0.9027711585877936,-0.9908313406064345
0,3,56,61,恆春,8326,4.4127371274104865,5.753614656987722,-0.2719249588214556,3.108390992446041
0,3,66,72,埔里,8609,5.017557403506517,6.657890484505011,0.3571880279685494,-1.9532790053443274
3,9,8,11,士林,8537,4.113643626523294,4.947821259523097,0.5935501276017225,3.664272995733525
3,9,14,18,大園,8594,3.2127806382912216,4.628958864255957,0.7308130514523817,-1.2090052527370967
3,9,15,19,觀音,8556,3.9627249937238065,5.624347139666081,0.6168345807825133,-2.091966142786502
3,9,28,32,西屯,8533,2.8213538093778125,3.6556625789231214,0.8306974954490314,0.9898944582118249
3,9,29,33,彰化,8589,3.383193828990482,4.337133122731725,0.765222941478283,2.050162391482722
3,9,36,40,朴子,8531,4.065672358431384,5.448488580279576,0.689698172192107,2.5511340716005058
3,9,38,42,嘉義,8572,3.6386285007584056,4.8332627518828115,0.8260471552826296,1.345676630359913
3,9,49,53,楠梓,8613,3.122280058227709,4.17535344673772,0.8597222122075039,1.5851851118838596
3,9,53,58,小港,8595,3.022173330851805,4.056521626615473,0.8768761376494127,0.24731876931958868
3,9,58,63,花蓮,8607,3.258155112595069,4.081309554809935,0.405096778736013,1.8212676238581544
3,9,60,65,宜蘭,8588,2.651431608315285,3.4923213609178574,0.6842908241160222,0.3085592353085779
3,9,72,84,富貴角,8476,4.447309307163338,6.183191687694866,0.35731113090256517,-3.159677598855725
